DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,JourneyId,LocationDisplay,TransactonTime,OrderDate,Payment,OrderNumber,AuthCode,Total
Dec-30-2023 11:49 AM,Transfer at Bus Stop 50412,3 Zone UPass (N),,$0.00,$5.90,2023-12-30T19:12:00.0000000Z,"Transfer at Bus Stop 50412
3 Zone UPass (N)",11:49 AM,,,,,
Dec-30-2023 11:17 AM,Tap out at Broadway-City Hall Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-30T19:12:00.0000000Z,"Tap out at Broadway-City Hall Stn
3 Zone UPass (N)",11:17 AM,,,,,
Dec-30-2023 11:12 AM,Tap in at King Edward Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-30T19:12:00.0000000Z,"Tap in at King Edward Stn
3 Zone UPass (N)",11:12 AM,,,,,
Dec-29-2023 03:06 PM,Transfer at Bus Stop 50412,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T21:41:00.0000000Z,"Transfer at Bus Stop 50412
3 Zone UPass (N)",03:06 PM,,,,,
Dec-29-2023 02:30 PM,Tap out at Broadway-City Hall Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T21:41:00.0000000Z,"Tap out at Broadway-City Hall Stn
3 Zone UPass (N)",02:30 PM,,,,,
Dec-29-2023 02:23 PM,Transfer at Oakridge-41st Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T21:41:00.0000000Z,"Transfer at Oakridge-41st Stn
3 Zone UPass (N)",02:23 PM,,,,,
Dec-29-2023 01:59 PM,Tap out at Oakridge-41st Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T21:41:00.0000000Z,"Tap out at Oakridge-41st Stn
3 Zone UPass (N)",01:59 PM,,,,,
Dec-29-2023 01:51 PM,Transfer at Broadway-City Hall Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T21:41:00.0000000Z,"Transfer at Broadway-City Hall Stn
3 Zone UPass (N)",01:51 PM,,,,,
Dec-29-2023 01:41 PM,Tap in at Bus Stop 60494,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T21:41:00.0000000Z,"Tap in at Bus Stop 60494
3 Zone UPass (N)",01:41 PM,,,,,
Dec-29-2023 07:07 AM,Tap in at Bus Stop 58037,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T15:07:00.0000000Z,"Tap in at Bus Stop 58037
3 Zone UPass (N)",07:07 AM,,,,,
Dec-28-2023 04:15 PM,Transfer at Bus Stop 60575,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T00:00:00.0000000Z,"Transfer at Bus Stop 60575
3 Zone UPass (N)",04:15 PM,,,,,
Dec-28-2023 04:00 PM,Tap in at Bus Stop 50540,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T00:00:00.0000000Z,"Tap in at Bus Stop 50540
3 Zone UPass (N)",04:00 PM,,,,,
Dec-28-2023 07:35 AM,Tap in at Bus Stop 58037,3 Zone UPass (N),,$0.00,$5.90,2023-12-28T15:35:00.0000000Z,"Tap in at Bus Stop 58037
3 Zone UPass (N)",07:35 AM,,,,,
Dec-27-2023 04:26 PM,Transfer at Bus Stop 60575,3 Zone UPass (N),,$0.00,$5.90,2023-12-28T00:16:00.0000000Z,"Transfer at Bus Stop 60575
3 Zone UPass (N)",04:26 PM,,,,,
