stop_code,stop_name,stop_lat,stop_lon,zone_id
50001,Westbound Davie St @ Bidwell St,49.286458,-123.140424,BUS ZN
59326,Northbound No. 5 Rd @ McNeely Dr,49.179962,-123.09149,BUS ZN
59324,Northbound No. 5 Rd @ Woodhead Rd,49.18267,-123.091448,BUS ZN
59323,Southbound No. 5 Rd @ Cambie Rd,49.184252,-123.091627,BUS ZN
59325,Southbound No. 5 Rd @ Woodhead Rd,49.182051,-123.091659,BUS ZN
59327,Eastbound McNeely Dr @ No. 5 Rd,49.179586,-123.091105,BUS ZN
59329,Eastbound Jack Bell Dr @ McNeely Dr,49.179599,-123.087232,BUS ZN
59331,Eastbound Jack Bell Dr @ 12500 Block,49.178199,-123.084601,BUS ZN
59332,Northbound Jack Bell Dr @ Wyne Cres North,49.180787,-123.082085,BUS ZN
59335,Northbound Jacombs Rd @ Vanier Place,49.183053,-123.080188,BUS ZN
59702,Eastbound Lougheed Hwy @ Madison Ave,49.266312,-123.008094,BUS ZN
59701,Westbound Lougheed Hwy @ Madison Ave,49.266542,-123.009458,BUS ZN
53309,Westbound Lougheed Hwy @ Holdom Ave,49.265095,-122.982086,BUS ZN
53302,Eastbound Lougheed Hwy @ Holdom Ave,49.264649,-122.980395,BUS ZN
52835,Westbound Lougheed Hwy @ Sperling Ave,49.25941,-122.962966,BUS ZN
53304,Eastbound Lougheed Hwy @ Bainbridge Ave,49.258523,-122.955209,BUS ZN
53308,Westbound Lougheed Hwy @ Lake City Way,49.25443,-122.938606,BUS ZN
53305,Eastbound Lougheed Hwy @ Lake City Way,49.254139,-122.937052,BUS ZN
58349,Westbound Lougheed Hwy @ Production Way,49.253225,-122.917557,BUS ZN
59295,Westbound River Rd @ 23900 Block,49.182568,-122.559304,BUS ZN
59311,Southbound Turner Creek Dr @ Heritage Mountain Blvd,49.293537,-122.838479,BUS ZN
52553,Westbound Government Rd @ Brighton Ave,49.250879,-122.919712,BUS ZN
52552,Eastbound Government Rd @ Brighton Ave,49.250777,-122.919356,BUS ZN
50995,Northbound Cambie St @ W 59 Ave,49.217289,-123.116608,BUS ZN
59341,Southbound Cooney Rd @ Ackroyd Rd,49.171551,-123.13164,BUS ZN
59402,Southbound Smith Ave @ Fir St,49.244604,-123.019856,BUS ZN
59396,Westbound Beach Ave @ Howe St,49.274962,-123.132056,BUS ZN
59393,Westbound Beach Ave @ Hornby St,49.275543,-123.132974,BUS ZN
59392,Westbound Beach Ave @ Thurlow St,49.277896,-123.135648,BUS ZN
59391,Westbound Beach Ave @ Bute St,49.279589,-123.137338,BUS ZN
